label	max_pay	sum_pay	sum_time	between_time	pv_qty_all	pv_qty_search_all	clct_qty_all	cart2_qty_all
0	6668	3559.9	3	6	9	1	0	1
0	3147.18	3228.47	2	7	1	0	0	0
0	0	0	0	0	22	8	0	2
0	299	427.28	2	14	35	8	2	0
1	7938	0	0	32	10	1	0	0
0	2595.92	0	0	147	7	0	0	2
0	0	0	0	0	14	1	0	0
0	11078.6	0	0	105	5	4	0	2
0	6707.9	0	0	41	2	2	0	0
1	2318	6495.5	3	3	6	1	2	0
1	11032.7	6952.23	2	3	3	3	0	1
0	699	0	0	219	7	1	0	0
0	11613	26.92	1	3	4	1	0	0
0	8996.1	0	0	118	7	1	0	0
0	6594.3	6594.3	1	20	4	1	0	0
0	0	0	0	0	0	0	0	1
0	3949	1284.53	6	1	20	3	1	1
1	614	614	1	26	2	1	0	0
1	5388	0	0	196	2	0	0	0
0	500	0	0	128	109	3	0	0
1	488	892.77	3	1	12	1	0	0
0	0	0	0	0	0	0	0	2
0	368	0	0	88	6	1	0	0
1	1194	0	0	59	27	0	0	2
0	21297	1698	1	12	1	0	0	0
0	0	0	0	0	2	1	0	0
0	0	0	0	0	1	0	0	0
1	5051	0	0	46	11	3	1	0
0	949	1137.03	3	5	0	0	0	0
0	522.05	77.62	1	3	3	0	0	0
0	658	179	1	25	16	0	0	0
0	4900	2773	1	2	5	1	0	0
0	900	1051.38	7	8	3	1	0	0
0	6574	0	0	91	50	7	0	2
0	7798	7311	2	11	4	0	0	0
0	11468	0	0	41	1	0	0	0
0	3780	6699	3	14	0	0	0	0
0	839	0	0	52	8	0	0	0
0	5740.99	0	0	70	2	0	0	0
0	1882	1882	1	4	5	2	0	0
0	1563.29	2662.29	2	1	18	3	0	5
0	2640	99	1	28	61	4	1	1
0	1598	157.24	1	14	0	0	0	1
0	179	0	0	57	1	1	0	0
0	89.11	0	0	110	5	2	0	0
0	1745	99.8	1	3	5	1	0	0
0	5680	0	0	51	0	0	0	0
0	6668	848	1	23	1	0	0	0
0	7097.9	2186	2	1	13	4	0	3
0	1397.21	0	0	204	9	4	0	0
1	7900.02	7900.02	1	1	12	2	0	0
1	1099	0	0	86	17	1	0	6
1	1696.75	0	0	45	29	3	0	13
1	3033.87	0	0	91	76	7	0	14
0	0	0	0	0	1	0	0	0
0	1557	2245.5	9	1	0	0	1	0
0	688.63	0	0	86	26	5	0	0
0	879	0	0	50	12	0	3	1
0	10753.26	9825.91	3	6	16	4	2	0
0	2894.62	219.61	1	10	8	0	0	2
0	2199	0	0	159	1	0	0	0
0	1054	1054	1	3	11	0	0	2
0	3980	2282.02	2	1	2	1	0	0
1	2699	0	0	95	12	0	0	0
0	2599	357.41	1	12	1	0	0	0
0	17284.9	21283.9	2	1	11	1	1	0
0	1379	0	0	32	1	0	0	0
0	40598	0	0	221	1	0	0	0
1	1798	0	0	62	0	0	0	2
0	7999	0	0	50	4	3	0	0
0	497.35	0	0	142	2	1	0	0
1	5361	5578.91	3	14	2	0	0	0
0	7491	576.4	6	13	4	0	0	0
0	5988	0	0	127	7	1	1	0
0	2417	2156.16	3	1	56	4	0	0
0	304.7	0	0	128	4	0	0	0
0	0	0	0	0	5	1	0	0
0	2849	48.9	1	3	28	4	0	0
0	5488	0	0	36	5	1	0	0
0	8298	8298	1	28	1	0	0	0
0	4766.98	7576.97	4	2	1	0	0	0
0	950.88	0	0	143	7	2	0	0
0	0	0	0	0	2	1	0	0
0	5041.38	0	0	82	3	1	0	0
0	89.4	0	0	34	3	0	0	0
0	5388	346.9	2	13	10	1	0	2
0	2799	37.75	4	1	3	1	0	0
0	6299	81.3	2	20	1	0	0	0
0	2760	511.92	4	1	0	0	0	0
1	3192	0	0	87	0	0	0	1
0	1998	0	0	163	2	1	0	0
0	2042	173.99	2	11	5	2	0	0
0	12137.42	12137.42	1	1	3	2	0	1
0	1699	316	1	29	1	1	0	0
0	5056	0	0	138	11	0	0	0
0	2549	461.18	4	8	1	1	0	0
0	1.5	0	0	370	76	11	0	7
0	5490	299	1	18	8	1	0	0
0	899	2228.2	6	5	17	0	0	0
0	12570	901.36	1	26	1	0	0	0
0	0	0	0	0	20	0	0	0
0	79	0	0	119	23	3	0	1
0	179.28	0	0	56	0	0	3	0
1	0	0	0	0	1	0	0	0
0	0	0	0	0	26	1	0	1
0	1299	0	0	164	1	0	0	0
0	7998	7998	1	3	0	0	0	0
0	138.5	0	0	113	3	1	0	0
0	899	0	0	122	3	1	0	0
0	3999	133.9	2	2	4	1	0	0
1	89	0	0	246	0	0	0	0
0	1226.27	1226.27	1	26	0	0	0	0
0	699	0	0	75	82	27	0	4
1	6588	0	0	54	4	1	0	2
0	3016	71.93	2	1	23	4	0	0
0	0	0	0	0	0	0	0	0
0	1999	0	0	91	0	0	0	0
0	6668	0	0	81	1	0	0	0
1	0	0	0	0	7	0	0	1
0	2287.41	0	0	60	4	0	0	0
0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0
1	1599	1599	1	2	62	14	1	3
0	4999	1998	1	13	9	0	0	0
0	11064	11064	1	5	0	0	0	0
0	9399	7476.35	13	4	7	2	0	0
0	0	0	0	0	3	1	0	0
0	64.2	0	0	48	2	1	0	0
0	3087.52	3087.52	1	1	0	0	0	1
0	149	140.6	2	3	0	0	0	0
0	4309	115.3	2	7	6	2	0	0
0	6899	80.7	1	1	0	0	0	0
0	149	149	1	2	0	0	0	0
0	4480	4480	1	1	0	0	0	0
0	5888	344.6	2	5	0	0	0	0
1	119	45.9	1	24	1	1	0	0
0	5486	0	0	89	0	0	0	0
1	1298	134.97	2	2	12	1	0	0
1	1399	1488	2	2	11	0	0	1
0	1198	1215	2	28	1	1	0	0
0	319	198	2	28	0	0	0	0
0	2299	1948	2	10	0	0	0	0
0	558	33.36	1	11	0	0	0	0
0	999	150.01	4	1	4	0	0	0
0	5090	0	0	114	1	0	0	0
0	1688	0	0	246	1	0	0	0
1	2999	2999	1	2	50	0	1	0
0	1899	0	0	275	6	0	1	0
0	65.9	0	0	141	4	2	0	0
0	3018.96	1410	1	5	1	0	0	1
0	1384.7	0	0	118	15	3	0	4
1	1790	0	0	70	6	0	0	2
0	750.6	305.9	3	13	0	0	0	16
0	438.21	142.86	3	4	0	0	0	0
0	528.7	89.8	1	9	27	2	0	3
0	4799	0	0	34	1	1	0	0
0	194.29	161.87	2	15	28	4	0	1
0	592.83	33.8	1	21	17	0	0	0
1	4977.11	6250.7	3	2	10	2	0	0
0	8097	1873.39	1	1	2	0	0	0
0	0	0	0	0	0	0	0	0
0	134.84	0	0	37	26	7	0	0
0	2199.45	0	0	96	0	0	1	0
1	6776.09	7674.11	2	1	1	0	0	1
0	240.03	0	0	70	1	1	0	0
0	6488	2099	1	26	0	0	0	0
1	0	0	0	0	0	0	0	0
1	8787	143.5	2	7	2	1	0	0
0	6538.6	0	0	31	4	3	0	0
1	0	0	0	0	1	0	0	0
0	365.12	360.96	2	14	1	0	0	0
0	2193	176.47	1	29	12	2	0	0
0	4451.5	1488	1	1	0	0	0	0
0	1379	0	0	40	3	1	0	0
0	1598	998	1	2	19	2	0	0
0	3399	440.8	3	1	12	0	0	0
0	78.51	0	0	42	8	2	0	0
0	9187	0	0	104	3	0	0	0
0	11262	0	0	89	14	1	0	2
1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0
1	5850	0	0	287	0	0	0	0
0	0	0	0	0	0	0	0	3
0	277.2	0	0	35	3	1	0	0
1	3622	190	2	23	101	7	0	1
0	849	0	0	197	2	2	0	0
0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0
0	1498.6	0	0	91	4	1	0	1
0	5299	0	0	32	5	3	0	0
0	398.34	205.55	1	21	1	0	0	0
1	1789	270.8	1	2	26	5	0	9
0	4499	2400	2	8	2	1	0	0
0	88.01	0	0	71	1	0	0	0
0	556	51.7	2	5	1	0	0	0
0	3846	3960.09	3	2	1	0	0	0
0	378.9	120.05	2	4	193	6	0	115
0	1060.07	0	0	98	8	3	0	1
0	3208.96	0	0	56	11	4	1	0
0	0	0	0	0	3	0	0	0
0	169	0	0	126	0	0	0	0
0	2399	0	0	37	5	0	0	0
1	199.01	87.14	1	4	5	0	0	0
0	0	0	0	0	0	0	0	1
0	4888	4903.08	8	6	3	0	0	0
0	5678	467.55	5	1	1	0	0	0
0	5372.27	7663.37	5	1	24	3	2	0
0	4199	0	0	37	1	0	0	0
1	3098	0	0	159	5	1	0	0
0	89.9	89.9	1	24	0	0	0	1
0	7882.78	0	0	200	10	2	0	1
0	79	0	0	120	1	0	0	0
0	246.4	0	0	98	17	1	0	0
1	414.4	0	0	100	127	9	0	0
1	7388	3597	1	22	7	0	1	3
0	658.8	0	0	145	1	1	0	0
0	50.7	0	0	119	11	0	0	0
0	540	0	0	176	5	0	0	2
1	699	0	0	79	7	2	0	0
0	998	0	0	145	6	2	0	0
0	5874	149.55	6	1	1	0	0	0
0	5299	5299	1	7	2	0	0	0
0	1839.01	0	0	81	1	1	0	0
1	238	34.8	1	18	0	0	0	0
0	5598.29	0	0	58	36	3	0	0
0	2751.69	370.73	4	1	4	4	0	0
0	5380.01	1105	1	4	1	0	0	0
0	958	301.82	2	22	0	0	0	0
0	8688	3668	2	3	23	6	0	12
0	200	0	0	104	11	1	0	1
0	1302	0	0	151	14	2	1	1
0	999	0	0	116	5	4	0	0
0	101.43	0	0	146	25	4	0	0
0	6158	600.02	7	10	3	0	0	5
0	7499	14498	2	5	3	0	0	1
0	1399	124.37	1	4	20	0	0	0
1	1199	1199	1	2	0	0	0	0
0	246.3	182.9	2	13	2	1	0	0
0	2419	0	0	90	8	0	0	0
0	2998	3150.47	4	1	146	1	1	14
1	1971.92	0	0	64	54	2	0	0
0	4099	0	0	79	26	4	0	11
0	4799	0	0	39	26	2	0	10
0	568	445.75	4	5	2	0	0	2
0	4578	4578	1	1	2	0	0	1
0	505.2	104.5	1	2	2	1	0	0
0	1560.83	520.81	7	4	2	0	0	1
0	1994.38	0	0	139	3	1	0	0
0	279.9	206.2	2	7	14	2	0	0
1	138	0	0	132	2	1	0	0
1	1199.02	0	0	148	1	0	0	0
0	1999	1999	1	1	1	1	0	0
0	0	0	0	0	7	3	0	0
0	269	269	1	5	1	1	0	0
0	8949	22004.8	4	6	2	0	0	0
0	0	0	0	0	132	5	0	8
0	103.21	0	0	59	4	4	0	0
0	73.93	66.42	1	25	3	0	0	0
0	1009.6	1025.5	2	1	53	6	0	89
0	0	0	0	0	5	0	0	1
0	3949	524.42	4	1	4	0	0	0
0	44.81	0	0	126	2	0	0	0
0	804	0	0	41	2	0	0	0
0	1388	0	0	33	14	3	0	4
0	5097.02	2028.7	2	2	2	2	0	0
0	2242.33	2291.37	3	9	4	0	0	0
0	0	0	0	0	12	1	1	0
0	279	0	0	300	4	1	0	0
0	3631.9	297.1	2	23	1	0	0	0
0	825.66	964.66	2	1	4	2	0	0
0	1423.55	0	0	190	16	0	0	0
0	428	379	1	19	0	0	0	2
0	14.8	0	0	136	8	1	0	0
0	5999	5999	1	2	5	3	0	0
0	0	0	0	0	0	0	0	0
1	8570	3399	1	12	1	1	0	0
0	10199	365.47	3	2	7	1	0	0
1	1882	99.75	1	12	5	1	0	0
1	5187.01	0	0	34	21	1	0	0
0	1298	0	0	166	0	0	0	0
0	1699	0	0	47	13	0	0	1
0	3399	2187.02	2	23	2	1	0	0
0	0	0	0	0	4	1	0	0
0	262.46	265.36	2	6	1	0	0	0
1	0	0	0	0	1	1	0	0
