label	diff_rgst	age	gender	bh_gender	purchase_power
0	2179	42	NULL	NULL	NULL
0	2183	31	NULL	NULL	NULL
0	2168	27	NULL	NULL	NULL
0	2118	28	F	N	3
0	1963	30	NULL	NULL	NULL
1	2115	53	NULL	NULL	NULL
0	2115	36	F	N	2
0	2107	44	NULL	NULL	NULL
0	NULL	NULL	M	M	3
1	NULL	NULL	NULL	NULL	NULL
0	2088	29	NULL	NULL	NULL
0	2053	56	NULL	NULL	NULL
0	2050	31	M	M	3
0	2048	25	NULL	NULL	NULL
0	2036	35	NULL	NULL	NULL
0	2027	30	NULL	NULL	NULL
0	1996	37	NULL	NULL	NULL
0	2028	35	NULL	NULL	NULL
1	2027	35	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	1880	46	NULL	NULL	NULL
0	1922	29	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	1994	38	M	M	3
0	1933	48	NULL	NULL	NULL
0	1986	30	NULL	NULL	NULL
0	1967	27	M	N	1
0	1963	28	NULL	NULL	NULL
0	1935	44	NULL	NULL	NULL
0	1814	35	M	A	2
0	1871	36	M	N	1
0	1870	31	M	M	1
0	1925	35	NULL	NULL	NULL
0	1933	35	NULL	NULL	NULL
0	1922	25	F	N	2
0	1916	47	NULL	NULL	NULL
0	1922	29	NULL	NULL	NULL
0	1900	27	F	A	2
0	1902	34	NULL	NULL	NULL
0	1881	26	NULL	NULL	NULL
0	1856	30	NULL	NULL	NULL
0	1855	30	NULL	NULL	NULL
0	1841	26	NULL	NULL	NULL
0	1824	30	NULL	NULL	NULL
1	1814	44	NULL	NULL	NULL
0	1813	30	M	M	3
1	1773	23	NULL	NULL	NULL
1	1807	22	NULL	NULL	NULL
0	1780	38	NULL	NULL	NULL
0	1758	46	NULL	NULL	NULL
0	1717	29	NULL	NULL	NULL
0	1669	28	NULL	NULL	NULL
0	1741	35	M	F	3
1	1727	28	NULL	NULL	NULL
0	1710	48	NULL	NULL	NULL
0	1689	34	NULL	NULL	NULL
1	1681	54	NULL	NULL	NULL
0	1678	31	M	M	1
0	1531	28	M	N	1
0	1660	34	NULL	NULL	NULL
0	1665	28	NULL	NULL	NULL
0	1663	48	NULL	NULL	NULL
0	1664	40	NULL	NULL	NULL
0	1603	30	NULL	NULL	NULL
0	1627	27	NULL	NULL	NULL
0	1569	45	M	N	1
1	NULL	NULL	F	A	3
0	1588	67	NULL	NULL	NULL
1	1582	29	NULL	NULL	NULL
0	1576	26	NULL	NULL	NULL
0	1578	27	F	M	1
0	1565	36	NULL	NULL	NULL
0	1498	28	NULL	NULL	NULL
0	1534	29	M	N	1
1	1529	44	NULL	NULL	NULL
0	4022	39	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	4004	35	NULL	NULL	NULL
0	3987	34	NULL	NULL	NULL
0	3943	44	NULL	NULL	NULL
1	3931	NULL	NULL	NULL	NULL
1	3922	37	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3921	38	NULL	NULL	NULL
0	3892	33	NULL	NULL	NULL
0	3864	53	NULL	NULL	NULL
0	3854	31	M	N	3
0	3848	63	NULL	NULL	NULL
0	3843	40	NULL	NULL	NULL
0	3846	39	F	N	2
0	3826	55	NULL	NULL	NULL
0	3812	44	NULL	NULL	NULL
0	3806	32	NULL	NULL	NULL
0	3785	66	M	N	3
0	3787	34	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3758	41	NULL	NULL	NULL
1	3736	36	NULL	NULL	NULL
0	3734	31	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3669	53	NULL	NULL	NULL
0	3668	40	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	3646	49	NULL	NULL	NULL
0	3636	57	NULL	NULL	NULL
0	3640	39	NULL	NULL	NULL
0	3634	50	NULL	NULL	NULL
0	3602	38	NULL	NULL	NULL
0	3577	31	NULL	NULL	NULL
0	3571	36	NULL	NULL	NULL
0	3516	45	NULL	NULL	NULL
0	3504	34	NULL	NULL	NULL
0	3492	39	NULL	NULL	NULL
0	3489	40	NULL	NULL	NULL
0	3483	46	NULL	NULL	NULL
0	3393	43	NULL	NULL	NULL
0	3352	37	NULL	NULL	NULL
0	3346	52	NULL	NULL	NULL
0	3320	52	NULL	NULL	NULL
0	3292	53	NULL	NULL	NULL
0	3269	38	M	M	1
0	3236	50	M	M	2
1	3218	38	NULL	NULL	NULL
0	3209	31	NULL	NULL	NULL
